experiment,run_id,step,states,paths,path_lengths,rooms,objects
plr-i,6ndfupqb,10,3.636594,1.4216301,2.2030392,3.424684,8.640404
plr-i,6ndfupqb,110,3.754012,1.4012152,2.3228664,4.0938377,10.963345
plr-i,6ndfupqb,210,4.0699034,1.4531424,2.6214776,4.722786,12.869926
plr-i,6ndfupqb,310,4.1561065,1.5568169,2.5929575,4.7777386,13.494356
plr-i,6ndfupqb,410,4.1199083,1.6381599,2.4974349,4.7697983,13.59503
plr-i,6ndfupqb,510,3.8675697,1.5526531,2.330613,4.534789,13.300366
plr-i,6ndfupqb,610,3.8962097,1.5798805,2.322053,4.750605,13.806749
plr-i,6ndfupqb,710,4.1504602,1.7190421,2.45054,4.883257,14.28252
plr-i,6ndfupqb,810,4.194519,1.7985259,2.4646802,5.0268826,14.539921
plr-i,6ndfupqb,910,4.0198393,1.7064732,2.368113,4.983189,14.595511
plr-i,6ndfupqb,1010,4.19376,1.833156,2.4336643,5.04216,14.793589
plr-i,6ndfupqb,1110,4.0753117,1.7629721,2.3591127,5.1627216,14.907675
plr-i,6ndfupqb,1210,4.154845,1.791805,2.3998313,5.226619,15.054117
plr-i,6ndfupqb,1310,4.27162,1.830016,2.4883661,5.2493715,15.4577
plr-i,6ndfupqb,1410,4.209805,1.8503462,2.4513025,5.1283555,15.15427
plr-i,6ndfupqb,1510,4.4366713,1.8985956,2.5810223,5.093934,15.187609
plr-i,6ndfupqb,1610,4.365815,1.8438358,2.5920582,5.110584,15.097505
plr-i,6ndfupqb,1710,4.438386,1.8737171,2.6090155,5.1066384,15.233036
plr-i,6ndfupqb,1810,4.431131,1.8362255,2.6559687,5.058359,15.028604
plr-i,6ndfupqb,1910,4.5784197,1.9220288,2.7067342,5.1872168,14.856123
plr-i,6ndfupqb,2010,4.588118,1.8886349,2.7048361,5.2955265,15.477387
plr-i,6ndfupqb,2110,4.4949427,1.8722779,2.7034092,4.950927,14.689339
plr-i,6ndfupqb,2210,4.464715,1.8463652,2.6897821,5.207429,15.373299
plr-i,6ndfupqb,2310,4.648025,1.8912036,2.7922966,5.0598946,14.9333725
plr-i,6ndfupqb,2410,4.565497,1.8209622,2.7837162,5.1834426,15.143636
plr-i,6ndfupqb,2510,4.6285553,1.8293536,2.8349686,5.1924076,15.121714
plr-i,6ndfupqb,2610,4.549479,1.8213428,2.7470908,5.254921,15.203283
