experiment,run_id,step,states,rooms,objects
plr-i,41x0oy7r,10,3.2042716,3.2845058,8.675888
plr-i,41x0oy7r,110,3.1756852,4.346645,11.385468
plr-i,41x0oy7r,210,3.4257307,4.223405,12.0433655
plr-i,41x0oy7r,310,3.4272552,4.5378866,13.057814
plr-i,41x0oy7r,410,3.355562,4.560501,13.298086
plr-i,41x0oy7r,510,3.3147674,4.860656,14.1854515
plr-i,41x0oy7r,610,3.331155,4.918165,14.448191
plr-i,41x0oy7r,710,3.2739086,4.9965105,14.729002
plr-i,41x0oy7r,810,3.2136602,4.956846,14.736037
plr-i,41x0oy7r,910,3.2988334,4.8598814,14.611515
plr-i,41x0oy7r,1010,3.251857,5.1339617,15.163786
plr-i,41x0oy7r,1110,3.2738962,5.0977693,15.021858
plr-i,41x0oy7r,1210,3.216599,5.027505,14.850155
plr-i,41x0oy7r,1310,3.2605453,5.221856,15.31233
plr-i,41x0oy7r,1410,3.370017,5.205988,15.645933
plr-i,41x0oy7r,1510,3.365736,5.350715,15.843761
plr-i,41x0oy7r,1610,3.4587996,5.3165174,15.728153
plr-i,41x0oy7r,1710,3.477519,5.3421454,15.736622
plr-i,41x0oy7r,1810,3.4778643,5.4246483,16.132559
plr-i,41x0oy7r,1910,3.3952572,5.4265156,16.063538
plr-i,41x0oy7r,2000,3.5132785,5.455201,16.090322
plr-i,0512rluf,10,3.3133848,3.0765426,8.461837
plr-i,0512rluf,110,3.2239957,4.136141,11.035347
plr-i,0512rluf,210,3.2812076,4.533446,12.683187
plr-i,0512rluf,310,3.413789,4.706018,12.82171
plr-i,0512rluf,410,3.314691,4.7054887,13.094309
plr-i,0512rluf,510,3.3241248,4.9312563,13.64763
plr-i,0512rluf,610,3.3424783,4.9542007,13.950862
plr-i,0512rluf,710,3.3272753,5.101652,14.385736
plr-i,0512rluf,810,3.1204,5.0959077,14.574562
plr-i,0512rluf,910,3.0604854,5.24051,14.770216
plr-i,0512rluf,1010,3.2205553,5.219302,14.9800415
plr-i,0512rluf,1110,2.931129,5.2578716,15.132038
plr-i,0512rluf,1210,3.158194,5.316263,15.135923
plr-i,0512rluf,1310,3.030129,5.3217072,15.1823635
plr-i,0512rluf,1410,3.2430766,5.4239326,16.173439
plr-i,0512rluf,1510,3.243493,5.4528565,16.109924
plr-i,0512rluf,1610,3.4118452,5.3697305,15.874793
plr-i,0512rluf,1710,3.5042052,5.321443,15.917841
plr-i,0512rluf,1810,3.66006,5.333065,16.022507
plr-i,0512rluf,1910,3.6215618,5.472231,16.291285
plr-i,0512rluf,2000,3.7520165,5.4533343,16.288687
plr-i,m1kws6kg,10,3.1444435,3.544686,8.833736
plr-i,m1kws6kg,110,3.2736573,4.2382765,11.7158165
plr-i,m1kws6kg,210,3.2695048,4.5205183,12.732095
plr-i,m1kws6kg,310,3.234673,4.551586,12.958156
plr-i,m1kws6kg,410,3.4058828,4.5601625,12.882681
plr-i,m1kws6kg,510,3.3182774,4.622046,13.576053
plr-i,m1kws6kg,610,3.2017543,4.8352737,13.846669
plr-i,m1kws6kg,710,3.0969331,4.745727,13.646986
plr-i,m1kws6kg,810,3.4181619,5.010464,14.726885
plr-i,m1kws6kg,910,3.0326471,5.0469837,14.752575
plr-i,m1kws6kg,1010,3.1985028,5.111573,14.870438
plr-i,m1kws6kg,1110,3.4245367,5.284813,15.51232
plr-i,m1kws6kg,1210,3.231355,5.2390223,15.31666
plr-i,m1kws6kg,1310,3.5085852,5.362326,15.604304
plr-i,m1kws6kg,1410,3.4577713,5.379836,15.727126
plr-i,m1kws6kg,1510,3.4404006,5.4409456,15.875075
plr-i,m1kws6kg,1610,3.4820132,5.418372,15.925953
plr-i,m1kws6kg,1710,3.48768,5.46199,16.09486
plr-i,m1kws6kg,1810,3.5474262,5.4966784,16.222134
plr-i,m1kws6kg,1910,3.5861015,5.478153,16.216618
plr-i,m1kws6kg,2000,3.727818,5.47609,16.28423
plr-i,97w2htk2,10,3.276072,3.483733,9.217884
plr-i,97w2htk2,110,3.3713398,4.0936413,11.695519
plr-i,97w2htk2,210,3.4579203,4.680745,12.883308
plr-i,97w2htk2,310,3.5223165,4.7814565,13.558403
plr-i,97w2htk2,410,3.280947,4.711817,13.488594
plr-i,97w2htk2,510,3.2476795,4.9368362,13.938262
plr-i,97w2htk2,610,3.2939448,4.974866,14.356811
plr-i,97w2htk2,710,3.261516,5.0995975,14.721268
plr-i,97w2htk2,810,3.3034558,5.1627636,14.834433
plr-i,97w2htk2,910,3.1996386,5.184596,14.944859
plr-i,97w2htk2,1010,3.225472,5.2852454,15.23373
plr-i,97w2htk2,1110,3.2757945,5.1787267,15.175314
plr-i,97w2htk2,1210,3.2645788,5.2886176,15.485679
plr-i,97w2htk2,1310,3.2255266,5.36714,15.726061
plr-i,97w2htk2,1410,3.3092303,5.3664083,15.695561
plr-i,97w2htk2,1510,3.3181763,5.4081454,15.704914
plr-i,97w2htk2,1610,3.492806,5.4665103,15.807048
plr-i,97w2htk2,1710,3.4921532,5.4940195,15.778177
plr-i,97w2htk2,1810,3.6789765,5.490008,15.852118
plr-i,97w2htk2,1910,3.6304536,5.5172014,15.882217
plr-i,97w2htk2,2000,3.582148,5.5289764,16.131748
plr-i,t9tu0kn3,10,3.4441156,2.757728,7.079856
plr-i,t9tu0kn3,110,3.3821216,4.1443233,10.988289
plr-i,t9tu0kn3,210,3.3779635,4.3963833,12.5678005
plr-i,t9tu0kn3,310,3.3056073,4.7578526,13.601435
plr-i,t9tu0kn3,410,3.1704984,4.8508444,13.896839
plr-i,t9tu0kn3,510,3.0678601,4.9304338,14.247779
plr-i,t9tu0kn3,610,3.1329262,4.9829884,14.74
