,Problem,Level,HRM,Batch_0,Batch_1,Batch_2,Batch_3,Batch_4,Mean,Std
0,independent,full,sfull,0.023681640625,0.026123046875,0.03271484375,0.028076171875,0.024658203125,0.02705078125,0.003195911752334682
1,conditioned,full,sfull,0.83935546875,0.829833984375,0.827880859375,0.835205078125,0.837158203125,0.83388671875,0.0043552935783159686
2,independent,full,rw,0.038818359375,0.03466796875,0.03955078125,0.041259765625,0.03857421875,0.03857421875,0.0021672208028488426
3,conditioned,full,rw,0.855224609375,0.843017578125,0.843505859375,0.850830078125,0.846923828125,0.847900390625,0.00461160896606156
4,independent,1l,s1,0.00732421875,0.009765625,0.0078125,0.008544921875,0.009521484375,0.00859375,0.0009442909963776229
5,conditioned,1l,s1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,independent,1l,s2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,conditioned,1l,s2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,independent,1l,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,conditioned,1l,s3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,independent,1l,s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,conditioned,1l,s4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,independent,1l,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,conditioned,1l,s5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,independent,1m,s1,0.025146484375,0.02490234375,0.029296875,0.025390625,0.02587890625,0.026123046875,0.0016194456984157226
15,conditioned,1m,s1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,independent,1m,s2,0.000732421875,0.000732421875,0.0,0.000244140625,0.00048828125,0.000439453125,0.00028471444799049316
17,conditioned,1m,s2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,independent,1m,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,conditioned,1m,s3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,independent,1m,s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,conditioned,1m,s4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,independent,1m,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,conditioned,1m,s5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,independent,1h,s1,0.04248046875,0.039794921875,0.041015625,0.047607421875,0.047119140625,0.043603515625,0.003189190584532799
25,conditioned,1h,s1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,independent,1h,s2,0.000732421875,0.001708984375,0.00244140625,0.001953125,0.001953125,0.0017578125,0.000565226411269054
27,conditioned,1h,s2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,independent,1h,s3,0.0,0.000244140625,0.0,0.0,0.0,4.8828125e-05,9.765625000000002e-05
29,conditioned,1h,s3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,independent,1h,s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,conditioned,1h,s4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,independent,1h,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,conditioned,1h,s5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
34,independent,2l,s1,0.023193359375,0.0224609375,0.020263671875,0.021484375,0.02197265625,0.021875,0.0009838594570122014
35,conditioned,2l,s1,0.906982421875,0.89990234375,0.90234375,0.904296875,0.911865234375,0.905078125,0.004112592126805775
36,independent,2l,s2,0.0009765625,0.00048828125,0.000732421875,0.000732421875,0.00048828125,0.00068359375,0.00018269811458857134
37,conditioned,2l,s2,0.884521484375,0.87255859375,0.87548828125,0.876708984375,0.886474609375,0.879150390625,0.005391031885685751
38,independent,2l,s3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,conditioned,2l,s3,0.872802734375,0.866455078125,0.865234375,0.866455078125,0.876708984375,0.86953125,0.0044634355007915774
40,independent,2l,s4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,conditioned,2l,s4,0.867919921875,0.859130859375,0.86181640625,0.861328125,0.87255859375,0.86455078125,0.004954069895824528
42,independent,2l,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,conditioned,2l,s5,0.863037109375,0.853271484375,0.858154296875,0.8583984375,0.870361328125,0.86064453125,0.005757579286321748
44,independent,2m,s1,0.078857421875,0.077392578125,0.0712890625,0.076904296875,0.0751953125,0.075927734375,0.0025975461090371847
45,conditioned,2m,s1,0.857177734375,0.844482421875,0.84521484375,0.856201171875,0.853271484375,0.85126953125,0.0054029594506340055
46,independent,2m,s2,0.00439453125,0.006591796875,0.00634765625,0.006591796875,0.00634765625,0.0060546875,0.0008372279394278441
47,conditioned,2m,s2,0.798583984375,0.782958984375,0.790771484375,0.801513671875,0.80078125,0.794921875,0.007092694846842749
48,independent,2m,s3,0.00146484375,0.0009765625,0.001220703125,0.00048828125,0.00048828125,0.000927734375,0.000390625
49,conditioned,2m,s3,0.762939453125,0.75439453125,0.760009765625,0.76611328125,0.778076171875,0.764306640625,0.007892353133006291
50,independent,2m,s4,0.0,0.0,0.000244140625,0.0,0.000244140625,9.765625e-05,0.00011960399134683488
51,conditioned,2m,s4,0.7470703125,0.733154296875,0.74072265625,0.7431640625,0.755615234375,0.7439453125,0.007394519384730311
52,independent,2m,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,conditioned,2m,s5,0.734375,0.7216796875,0.7265625,0.732421875,0.736572265625,0.730322265625,0.005453907033376251
54,independent,2h,s1,0.123046875,0.119873046875,0.121337890625,0.11767578125,0.123291015625,0.121044921875,0.002091075498570689
55,conditioned,2h,s1,0.875732421875,0.858642578125,0.86376953125,0.865478515625,0.866943359375,0.86611328125,0.005566406249999999
56,independent,2h,s2,0.014404296875,0.01123046875,0.018798828125,0.013671875,0.01708984375,0.0150390625,0.0026502474111546703
57,conditioned,2h,s2,0.8076171875,0.7978515625,0.79833984375,0.801513671875,0.805908203125,0.80224609375,0.003933619933813053
58,independent,2h,s3,0.002197265625,0.00244140625,0.002197265625,0.0029296875,0.0029296875,0.0025390625,0.0003311684562072885
59,conditioned,2h,s3,0.773193359375,0.762939453125,0.757568359375,0.77197265625,0.774658203125,0.76806640625,0.0066556871919487256
60,independent,2h,s4,0.000244140625,0.000244140625,0.0009765625,0.0009765625,0.00146484375,0.00078125,0.0004734062360758134
61,conditioned,2h,s4,0.750732421875,0.739013671875,0.738525390625,0.74658203125,0.75390625,0.745751953125,0.006158153878549523
62,independent,2h,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,conditioned,2h,s5,0.73681640625,0.72607421875,0.721435546875,0.731201171875,0.74365234375,0.7318359375,0.007825611556167822
64,independent,4l,s1,0.04931640625,0.05419921875,0.046875,0.053955078125,0.054443359375,0.0517578125,0.0030920195701147585
65,conditioned,4l,s1,0.84130859375,0.85009765625,0.836669921875,0.849853515625,0.852783203125,0.846142578125,0.006109177061811075
66,independent,4l,s2,0.003173828125,0.002685546875,0.00390625,0.004638671875,0.0029296875,0.003466796875,0.0007142938885902243
67,conditioned,4l,s2,0.7890625,0.798095703125,0.786865234375,0.798095703125,0.80517578125,0.795458984375,0.00667964466817408
68,independent,4l,s3,0.000732421875,0.000244140625,0.0,0.0009765625,0.00048828125,0.00048828125,0.00034526698300124393
69,conditioned,4l,s3,0.762939453125,0.77197265625,0.767822265625,0.775146484375,0.783203125,0.772216796875,0.006851614278773847
70,independent,4l,s4,0.0,0.0,0.000244140625,0.0,0.0,4.8828125e-05,9.765625000000002e-05
71,conditioned,4l,s4,0.7490234375,0.758544921875,0.7490234375,0.762939453125,0.76806640625,0.75751953125,0.007563474986382179
72,independent,4l,s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,conditioned,4l,s5,0.743896484375,0.747802734375,0.74169921875,0.74853515625,0.753173828125,0.747021484375,0.003971020627216301
74,independent,4m,s1,0.15380859375,0.146484375,0.135009765625,0.14501953125,0.147705078125,0.14560546875,0.00608414896195915
75,conditioned,4m,s1,0.838623046875,0.84033203125,0.835205078125,0.8486328125,0.837890625,0.84013671875,0.004558047277388658
76,independent,4m,s2,0.025146484375,0.027099609375,0.022705078125,0.02783203125,0.02392578125,0.025341796875,0.0019124175808170058
77,conditioned,4m,s2,0.781982421875,0.78076171875,0.778076171875,0.788818359375,0.790283203125,0.783984375,0.0047401019919967174
78,independent,4m,s3,0.005126953125,0.00341796875,0.004638671875,0.00634765625,0.004638671875,0.004833984375,0.0009442909963776229
79,conditioned,4m,s3,0.75146484375,0.765869140625,0.749267578125,0.767333984375,0.76904296875,0.760595703125,0.008441195208635621
80,independent,4m,s4,0.00048828125,0.001953125,0.00048828125,0.001708984375,0.000244140625,0.0009765625,0.0007075867551850312
81,conditioned,4m,s4,0.732421875,0.743408203125,0.733154296875,0.74853515625,0.748291015625,0.741162109375,0.007081593318471674
82,independent,4m,s5,0.0,0.000244140625,0.0,0.0,0.000244140625,9.765625e-05,0.00011960399134683488
83,conditioned,4m,s5,0.72265625,0.725341796875,0.71337890625,0.729736328125,0.731201171875,0.724462890625,0.006326210768539749
84,independent,4h,s1,0.224853515625,0.2216796875,0.2265625,0.2197265625,0.225830078125,0.22373046875,0.0026048786461619414
85,conditioned,4h,s1,0.85791015625,0.864013671875,0.857177734375,0.86474609375,0.856201171875,0.860009765625,0.0036165789428010166
86,independent,4h,s2,0.050537109375,0.060791015625,0.05322265625,0.0546875,0.058349609375,0.055517578125,0.0036493919806747646
87,conditioned,4h,s2,0.810302734375,0.816650390625,0.8017578125,0.816162109375,0.821533203125,0.81328125,0.006773571536663999
88,independent,4h,s3,0.0126953125,0.014892578125,0.01611328125,0.013671875,0.013916015625,0.0142578125,0.0011616579348994452
89,conditioned,4h,s3,0.788818359375,0.78955078125,0.77392578125,0.789306640625,0.7880859375,0.7859375,0.006026664611568495
90,independent,4h,s4,0.00390625,0.00439453125,0.00537109375,0.004150390625,0.00390625,0.004345703125,0.0005437269885576192
91,conditioned,4h,s4,0.77099609375,0.767578125,0.755859375,0.771728515625,0.771240234375,0.76748046875,0.005993341566058238
92,independent,4h,s5,0.002197265625,0.001220703125,0.000732421875,0.00048828125,0.0009765625,0.001123046875,0.0005899924791794225
93,conditioned,4h,s5,0.74462890625,0.755615234375,0.741943359375,0.758544921875,0.75146484375,0.750439453125,0.006316404438195473
94,independent,6l,s1,0.069091796875,0.07080078125,0.063720703125,0.0634765625,0.06591796875,0.0666015625,0.0029109098751540783
95,conditioned,6l,s1,0.821044921875,0.825439453125,0.827392578125,0.82421875,0.816650390625,0.82294921875,0.0037645186069133565
96,independent,6l,s2,0.005859375,0.008544921875,0.003662109375,0.008056640625,0.00537109375,0.006298828125,0.001796715770798252
97,conditioned,6l,s2,0.7685546875,0.7685546875,0.763671875,0.7744140625,0.758056640625,0.766650390625,0.005481813359643042
98,independent,6l,s3,0.000732421875,0.000732421875,0.000244140625,0.000732421875,0.00048828125,0.0005859375,0.0001953125
